1,    10,         86.2,   1.92,   0.78,   3
2,    70,         43.1,   0.96,   0.78,   3
3,    490,        21.5,   0.48,   0.8,    3
4,    3430,       10.8,   0.24,   0.83,   3
5,    24010,      5.4,    0.12,   0.89,   3
6,    192000,     2.7,    0.06,   1.05,   3
7,    1470000,    1.4,    0.03,   1.41,   3
8,    5010000,    0.9,    0.02,   1.81,   4
9,    38400000,   0.5,    0.01,   0.41,   5
10,   756000000,  0.6,    0.0056, 0.9,    19
11,   38400000,   0.5,    0.015,  0.81,   32
12,   5010000,    0.9,    0.03,   0.51,   33
13,   1470000,    1.4,    0.045,  0.42,   33
14,   192000,     2.7,    0.09,   0.34,   33
15,   24000,      5.4,    0.18,   0.31,   33
16,   3430,       10.8,   0.36,   0.29,   33
17,   490,        21.5,   0.72,   0.28,   33
18,   70,         43.1,   1.44,   0.28,   33
19,   10,         86.2,   2.88,   0.28,   33